さいたま市町名別人口,2022/2/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11104,見沼区　　               ,春野１丁目　　　　　,ハルノ１チヨウメ　　,1656,1722,1887,3609
11104,見沼区　　               ,春野２丁目　　　　　,ハルノ２チヨウメ　　,441,361,418,779
11104,見沼区　　               ,春野３丁目　　　　　,ハルノ３チヨウメ　　,626,734,756,1490
11104,見沼区　　               ,春野４丁目　　　　　,ハルノ４チヨウメ　　,568,909,902,1811
11104,見沼区　　               ,大字丸ヶ崎　　　　　,マルガサキ　　　　　,665,847,810,1657
11104,見沼区　　               ,丸ヶ崎町　　　　　　,マルガサキチヨウ　　,1324,1432,1310,2742
11104,見沼区　　               ,大字宮ヶ谷塔　　　　,ミヤガヤトウ　　　　,71,71,71,142
11104,見沼区　　               ,宮ヶ谷塔１丁目　　　,ミヤガヤトウ１チヨウ,46,53,59,112
11104,見沼区　　               ,宮ヶ谷塔２丁目　　　,ミヤガヤトウ２チヨウ,3,4,5,9
11104,見沼区　　               ,宮ヶ谷塔３丁目　　　,ミヤガヤトウ３チヨウ,141,154,155,309
11104,見沼区　　               ,宮ヶ谷塔４丁目　　　,ミヤガヤトウ４チヨウ,41,42,31,73
11104,見沼区　　               ,大字小深作　　　　　,コフカサク　　　　　,2771,2909,2976,5885
11104,見沼区　　               ,卸町２丁目　　　　　,オロシマチ２チヨウメ,48,13,35,48
11104,見沼区　　               ,春岡１丁目　　　　　,ハルオカ１チヨウメ　,631,803,821,1624
11104,見沼区　　               ,春岡２丁目　　　　　,ハルオカ２チヨウメ　,933,1143,1144,2287
11104,見沼区　　               ,春岡３丁目　　　　　,ハルオカ３チヨウメ　,1181,1460,1349,2809
11104,見沼区　　               ,風渡野１丁目　　　　,フツトノ１チヨウメ　,109,121,123,244
11104,見沼区　　               ,風渡野２丁目　　　　,フツトノ２チヨウメ　,216,228,234,462
11105,中央区　　               ,上落合１丁目　　　　,カミオチアイ１チヨウ,1460,1504,1703,3207
11105,中央区　　               ,上落合２丁目　　　　,カミオチアイ２チヨウ,1661,1782,1951,3733
11105,中央区　　               ,上落合３丁目　　　　,カミオチアイ３チヨウ,1108,1060,1090,2150
11105,中央区　　               ,上落合４丁目　　　　,カミオチアイ４チヨウ,412,406,417,823
11105,中央区　　               ,上落合５丁目　　　　,カミオチアイ５チヨウ,986,970,942,1912
11105,中央区　　               ,上落合６丁目　　　　,カミオチアイ６チヨウ,1123,1402,1446,2848
11105,中央区　　               ,上落合７丁目　　　　,カミオチアイ７チヨウ,1086,1219,1313,2532
11105,中央区　　               ,上落合８丁目　　　　,カミオチアイ８チヨウ,865,790,846,1636
11105,中央区　　               ,上落合９丁目　　　　,カミオチアイ９チヨウ,633,581,571,1152
11105,中央区　　               ,大字下落合　　　　　,シモオチアイ　　　　,1830,1854,2050,3904
11105,中央区　　               ,下落合２丁目　　　　,シモオチアイ２チヨウ,956,892,964,1856
11105,中央区　　               ,下落合３丁目　　　　,シモオチアイ３チヨウ,1055,932,1064,1996
11105,中央区　　               ,下落合４丁目　　　　,シモオチアイ４チヨウ,849,772,774,1546
11105,中央区　　               ,下落合５丁目　　　　,シモオチアイ５チヨウ,739,690,693,1383
11105,中央区　　               ,下落合６丁目　　　　,シモオチアイ６チヨウ,1064,922,930,1852
11105,中央区　　               ,下落合７丁目　　　　,シモオチアイ７チヨウ,781,724,745,1469
11105,中央区　　               ,鈴谷１丁目　　　　　,スズヤ１チヨウメ　　,93,82,87,169
11105,中央区　　               ,鈴谷２丁目　　　　　,スズヤ２チヨウメ　　,697,692,725,1417
11105,中央区　　               ,鈴谷３丁目　　　　　,スズヤ３チヨウメ　　,744,705,691,1396
11105,中央区　　               ,鈴谷４丁目　　　　　,スズヤ４チヨウメ　　,1416,1409,1484,2893
11105,中央区　　               ,鈴谷５丁目　　　　　,スズヤ５チヨウメ　　,518,510,493,1003
11105,中央区　　               ,鈴谷６丁目　　　　　,スズヤ６チヨウメ　　,623,686,654,1340
11105,中央区　　               ,鈴谷７丁目　　　　　,スズヤ７チヨウメ　　,1246,1376,1441,2817
11105,中央区　　               ,鈴谷８丁目　　　　　,スズヤ８チヨウメ　　,543,508,484,992
11105,中央区　　               ,鈴谷９丁目　　　　　,スズヤ９チヨウメ　　,163,130,105,235
11105,中央区　　               ,大戸１丁目　　　　　,オオト１チヨウメ　　,1071,1156,1092,2248
11105,中央区　　               ,大戸２丁目　　　　　,オオト２チヨウメ　　,445,468,444,912
11105,中央区　　               ,大戸３丁目　　　　　,オオト３チヨウメ　　,565,637,640,1277
11105,中央区　　               ,大戸４丁目　　　　　,オオト４チヨウメ　　,807,923,899,1822
11105,中央区　　               ,大戸５丁目　　　　　,オオト５チヨウメ　　,1078,1056,1110,2166
11105,中央区　　               ,大戸６丁目　　　　　,オオト６チヨウメ　　,677,674,681,1355
11105,中央区　　               ,八王子１丁目　　　　,ハチオウジ１チヨウメ,128,101,109,210
11105,中央区　　               ,八王子２丁目　　　　,ハチオウジ２チヨウメ,416,456,515,971
11105,中央区　　               ,八王子３丁目　　　　,ハチオウジ３チヨウメ,870,1020,958,1978
11105,中央区　　               ,八王子４丁目　　　　,ハチオウジ４チヨウメ,277,302,318,620
11105,中央区　　               ,八王子５丁目　　　　,ハチオウジ５チヨウメ,808,836,877,1713
11105,中央区　　               ,上峰１丁目　　　　　,ウエミネ１チヨウメ　,799,761,752,1513
11105,中央区　　               ,上峰２丁目　　　　　,ウエミネ２チヨウメ　,944,924,922,1846
11105,中央区　　               ,上峰３丁目　　　　　,ウエミネ３チヨウメ　,755,718,678,1396
11105,中央区　　               ,上峰４丁目　　　　　,ウエミネ４チヨウメ　,537,483,497,980
11105,中央区　　               ,円阿弥１丁目　　　　,エンナミ１チヨウメ　,23,37,43,80
11105,中央区　　               ,円阿弥２丁目　　　　,エンナミ２チヨウメ　,257,323,324,647
11105,中央区　　               ,円阿弥３丁目　　　　,エンナミ３チヨウメ　,124,116,132,248
11105,中央区　　               ,円阿弥４丁目　　　　,エンナミ４チヨウメ　,516,570,557,1127
11105,中央区　　               ,円阿弥５丁目　　　　,エンナミ５チヨウメ　,648,858,857,1715
11105,中央区　　               ,円阿弥６丁目　　　　,エンナミ６チヨウメ　,66,71,74,145
11105,中央区　　               ,円阿弥７丁目　　　　,エンナミ７チヨウメ　,267,292,268,560
11105,中央区　　               ,桜丘１丁目　　　　　,サクラオカ１チヨウメ,676,751,770,1521
11105,中央区　　               ,桜丘２丁目　　　　　,サクラオカ２チヨウメ,468,535,530,1065
11105,中央区　　               ,本町西１丁目　　　　,ホンマチニシ１チヨウ,684,654,660,1314
11105,中央区　　               ,本町西２丁目　　　　,ホンマチニシ２チヨウ,515,527,534,1061
11105,中央区　　               ,本町西３丁目　　　　,ホンマチニシ３チヨウ,884,875,901,1776
11105,中央区　　               ,本町西４丁目　　　　,ホンマチニシ４チヨウ,682,752,729,1481
11105,中央区　　               ,本町西５丁目　　　　,ホンマチニシ５チヨウ,494,671,684,1355
11105,中央区　　               ,本町西６丁目　　　　,ホンマチニシ６チヨウ,158,165,186,351
11105,中央区　　               ,本町東１丁目　　　　,ホンマチヒガシ１チヨ,563,510,558,1068
11105,中央区　　               ,本町東２丁目　　　　,ホンマチヒガシ２チヨ,676,558,548,1106
11105,中央区　　               ,本町東３丁目　　　　,ホンマチヒガシ３チヨ,617,599,562,1161
11105,中央区　　               ,本町東４丁目　　　　,ホンマチヒガシ４チヨ,937,882,912,1794
11105,中央区　　               ,本町東５丁目　　　　,ホンマチヒガシ５チヨ,792,773,791,1564
11105,中央区　　               ,本町東６丁目　　　　,ホンマチヒガシ６チヨ,494,552,551,1103
11105,中央区　　               ,本町東７丁目　　　　,ホンマチヒガシ７チヨ,1357,1578,1557,3135
11105,中央区　　               ,新中里１丁目　　　　,シンナカザト１チヨウ,927,1071,1105,2176
11105,中央区　　               ,新中里２丁目　　　　,シンナカザト２チヨウ,663,647,693,1340
11105,中央区　　               ,新中里３丁目　　　　,シンナカザト３チヨウ,721,767,759,1526
11105,中央区　　               ,新中里４丁目　　　　,シンナカザト４チヨウ,1064,1210,1213,2423
11105,中央区　　               ,新中里５丁目　　　　,シンナカザト５チヨウ,1165,1182,1244,2426
11105,中央区　　               ,新都心　　　　　　　,シントシン　　　　　,52,24,30,54
11106,桜区　　　               ,西堀１丁目　　　　　,ニシボリ１チヨウメ　,398,383,374,757
11106,桜区　　　               ,西堀２丁目　　　　　,ニシボリ２チヨウメ　,1062,1107,1078,2185
11106,桜区　　　               ,西堀３丁目　　　　　,ニシボリ３チヨウメ　,986,1020,1018,2038
11106,桜区　　　               ,西堀４丁目　　　　　,ニシボリ４チヨウメ　,1293,1352,1412,2764
11106,桜区　　　               ,西堀５丁目　　　　　,ニシボリ５チヨウメ　,527,621,593,1214
11106,桜区　　　               ,西堀６丁目　　　　　,ニシボリ６チヨウメ　,998,1116,1027,2143
11106,桜区　　　               ,西堀７丁目　　　　　,ニシボリ７チヨウメ　,1081,1192,1146,2338
11106,桜区　　　               ,西堀８丁目　　　　　,ニシボリ８チヨウメ　,834,855,846,1701
11106,桜区　　　               ,西堀９丁目　　　　　,ニシボリ９チヨウメ　,714,740,753,1493
11106,桜区　　　               ,西堀１０丁目　　　　,ニシボリ１０チヨウメ,381,388,393,781
11106,桜区　　　               ,田島１丁目　　　　　,タジマ１チヨウメ　　,771,793,789,1582
11106,桜区　　　               ,田島２丁目　　　　　,タジマ２チヨウメ　　,670,642,661,1303
11106,桜区　　　               ,田島３丁目　　　　　,タジマ３チヨウメ　　,1138,1243,1209,2452
11106,桜区　　　               ,田島４丁目　　　　　,タジマ４チヨウメ　　,1190,1179,1133,2312
11106,桜区　　　               ,田島５丁目　　　　　,タジマ５チヨウメ　　,762,669,638,1307
11106,桜区　　　               ,田島６丁目　　　　　,タジマ６チヨウメ　　,1656,1281,1391,2672
11106,桜区　　　               ,田島７丁目　　　　　,タジマ７チヨウメ　　,83,84,97,181
11106,桜区　　　               ,田島８丁目　　　　　,タジマ８チヨウメ　　,267,275,222,497
11106,桜区　　　               ,田島９丁目　　　　　,タジマ９チヨウメ　　,283,247,211,458
11106,桜区　　　               ,田島１０丁目　　　　,タジマ１０チヨウメ　,648,795,766,1561
11106,桜区　　　               ,新開１丁目　　　　　,シビラキ１チヨウメ　,536,553,530,1083
11106,桜区　　　               ,新開２丁目　　　　　,シビラキ２チヨウメ　,221,237,216,453
11106,桜区　　　               ,新開３丁目　　　　　,シビラキ３チヨウメ　,19,11,13,24
11106,桜区　　　               ,大字道場　　　　　　,ドウジヨウ　　　　　,7,8,3,11
11106,桜区　　　               ,道場１丁目　　　　　,ドウジヨウ１チヨウメ,349,352,334,686
11106,桜区　　　               ,道場２丁目　　　　　,ドウジヨウ２チヨウメ,1404,1732,1729,3461
11106,桜区　　　               ,道場３丁目　　　　　,ドウジヨウ３チヨウメ,448,493,446,939
11106,桜区　　　               ,大字町谷　　　　　　,マチヤ　　　　　　　,2,2,0,2
