No,区分,施設名,大分類,中分類,小分類,細分類,所在地,経度,緯度
528,放課後児童クラブ,鈴谷放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区鈴谷５丁目1番1,139.6311672,35.8710612
529,放課後児童クラブ,大戸放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区新中里１丁目6番28,139.6354433,35.8725503
530,放課後児童クラブ,与野本町放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区本町東３丁目5番23,139.6233934,35.8840107
531,放課後児童クラブ,与野西北放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区円阿弥４丁目3番7,139.6075079,35.88721
532,放課後児童クラブ,下落合放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区上落合１丁目7番33,139.6318691,35.8899739
533,放課後児童クラブ,上落合放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区上落合４丁目14番24,139.6253201,35.8938249
534,放課後児童クラブ,与野南放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,中央区大戸６丁目2番19,139.6348035,35.8671526
535,放課後児童クラブ,岸町放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,浦和区岸町５丁目20番4,139.6508584,35.851378
536,放課後児童クラブ,神田放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区大字神田541番1,139.6068702,35.8749281
537,放課後児童クラブ,馬宮放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,西区大字西遊馬533番1,139.5726979,35.9051354
538,放課後児童クラブ,大砂土放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,北区本郷町17番7,139.6262295,35.9376549
539,放課後児童クラブ,栄放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,西区大字指扇610番3,139.5819062,35.9076897
540,放課後児童クラブ,大久保放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区大字五関21番,139.5982639,35.8721424
541,放課後児童クラブ,中島放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,桜区中島１丁目28番1,139.6233676,35.8648519
542,放課後児童クラブ,植水第二放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,西区大字中野林225番3,139.5936994,35.8936735
543,放課後児童クラブ,城北放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字岩槻6619番,139.6933735,35.9620993
544,放課後児童クラブ,太田放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区仲町１丁目17番3,139.7038133,35.9483186
545,放課後児童クラブ,西原放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区西原4番97,139.68543,35.9520932
546,放課後児童クラブ,城南放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字南下新井1191番1,139.712631,35.9359332
547,放課後児童クラブ,岩槻放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区本町５丁目6番45,139.6985366,35.9536949
548,放課後児童クラブ,慈恩寺放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字慈恩寺259番,139.7077972,35.9816894
549,放課後児童クラブ,東岩槻放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区諏訪２丁目6番1,139.7097618,35.9701507
550,放課後児童クラブ,和土放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字黒谷1353番,139.7206831,35.9261999
551,放課後児童クラブ,徳力放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字徳力136番4,139.71679,35.9741002
552,放課後児童クラブ,柏崎放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字柏崎762番,139.7014645,35.9337231
553,放課後児童クラブ,上里放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区上里２丁目2番,139.7043168,35.9649266
554,放課後児童クラブ,新和放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,岩槻区大字尾ヶ崎1252番,139.7324384,35.9105858
555,放課後児童クラブ,東宮下放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,見沼区大字東宮下215番1,139.6776449,35.9259145
556,放課後児童クラブ,野田放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ,緑区大字上野田16番,139.7039468,35.9002313
557,放課後児童クラブ（民営）,指扇放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,西区西大宮1丁目49番9,139.572988,35.921916
558,放課後児童クラブ（民営）,向放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,南区大字大谷口5436番4,139.695927,35.858241
559,放課後児童クラブ（民営）,川通放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,岩槻区大字大野島485番3,139.731231,35.941114
560,放課後児童クラブ（民営）,大宮別所放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,北区別所町42番7,139.598306,35.954501
561,放課後児童クラブ（民営）,大砂土東放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,見沼区大和田町２丁目998番,139.646053,35.937894
562,放課後児童クラブ（民営）,指扇北放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,西区大字中釘1538番1,139.572036,35.932242
563,放課後児童クラブ（民営）,大宮南放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,大宮区吉敷町３丁目95番,139.633512,35.899861
564,放課後児童クラブ（民営）,日進北放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,北区日進町３丁目203番,139.603235,35.936179
565,放課後児童クラブ（民営）,大宮北放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,大宮区宮町３丁目119番3,139.628468,35.911483
566,放課後児童クラブ（民営）,蓮沼放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,見沼区大字風渡野373番5,139.661381,35.934781
567,放課後児童クラブ（民営）,河合放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,岩槻区大字平林寺371番4,139.671926,35.967769
568,放課後児童クラブ（民営）,蓮沼第２放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,見沼区大字蓮沼1025番3,139.656235,35.934431
569,放課後児童クラブ（民営）,植竹第二放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,北区植竹町１丁目593番2,139.624615,35.927847
570,放課後児童クラブ（民営）,仲本放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,浦和区本太２丁目12番2,139.661483,35.860504
571,放課後児童クラブ（民営）,つばさ放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,北区宮原町３丁目902番4,139.609633,35.933281
572,放課後児童クラブ（民営）,大成放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,大宮区大成町２丁目282番,139.613589,35.91488
573,放課後児童クラブ（民営）,日進放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,北区日進町２丁目911番,139.607531,35.9252
574,放課後児童クラブ（民営）,片柳放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,見沼区大字東新井244番1,139.670219,35.910775
575,放課後児童クラブ（民営）,辻南放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,南区辻８丁目7番32,139.665727,35.831598
576,放課後児童クラブ（民営）,美園放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,緑区美園５丁目33番地,139.73499,35.890721
577,放課後児童クラブ（民営）,桜木放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,大宮区桜木町４丁目328番1,139.616953,35.902723
578,放課後児童クラブ（民営）,大宮西放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,西区三橋６丁目382番1,139.585798,35.913049
579,放課後児童クラブ（民営）,馬宮西放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,西区飯田新田189-2,139.55935454,35.88620463
580,放課後児童クラブ（民営）,大成第二放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,大宮区大成町2-282,139.61358011,35.91494591
581,放課後児童クラブ（民営）,大宮第二放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,大宮区大門町3-3,139.630054,35.90662267
