種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,指定緊急避難場所との重複
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大戸小学校,埼玉県さいたま市中央区新中里1-6-28,35.87246101,139.6361299,オオトショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,下落合小学校,埼玉県さいたま市中央区上落合1-7-33,35.89017158,139.6312782,シモオチアイショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野西北小学校,埼玉県さいたま市中央区円阿弥4-3-7,35.88792696,139.6077708,ヨノセイホクショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,鈴谷小学校,埼玉県さいたま市中央区鈴谷5-1-1,35.87138078,139.6311389,スズヤショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野八幡小学校,埼玉県さいたま市中央区本町東5-23-14,35.89092386,139.6219835,ヨノハチマンショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野南小学校,埼玉県さいたま市中央区大戸6-2-25,35.86658564,139.6353309,ヨノミナミショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野東中学校,埼玉県さいたま市中央区下落合3-21-10,35.88832,139.632132,ヨノヒガシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野西中学校,埼玉県さいたま市中央区鈴谷8-10-33,35.87797197,139.623652,ヨノニシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野南中学校,埼玉県さいたま市中央区大戸2-6-25,35.86560243,139.6347208,ヨノミナミチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,八王子中学校,埼玉県さいたま市中央区八王子4-2-1,35.87843578,139.6080308,ハチオウジチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立いずみ高等学校,埼玉県さいたま市中央区円阿弥7-4-1,35.89391885,139.6102948,ケンリツイズミコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立与野高等学校,埼玉県さいたま市中央区本町西2-8-1,35.88439259,139.6183393,ケンリツヨノコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大戸公民館,埼玉県さいたま市中央区大戸3-14-21,35.8657536,139.6372856,オオトコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,与野本町公民館,埼玉県さいたま市中央区本町西1-14-12,35.88209,139.6193947,ヨノホンマチコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上落合公民館,埼玉県さいたま市中央区上落合6-9-3,35.8935165,139.6234687,カミオチアイコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,下落合公民館,埼玉県さいたま市中央区下落合5-4-17,35.8844844,139.6286466,シモオチアイコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,鈴谷公民館,埼玉県さいたま市中央区鈴谷7-5-11,35.8741494,139.6242336,スズヤコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,土合小学校,埼玉県さいたま市桜区西堀7-21-1,35.8578218,139.626635,ツチアイショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大久保小学校,埼玉県さいたま市桜区五関21,35.87247505,139.598435,オオクボショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,栄和小学校,埼玉県さいたま市桜区栄和1-7-1,35.8617411,139.6174744,サカワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,田島小学校,埼玉県さいたま市桜区田島10-12-1,35.83771255,139.623297,タジマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大久保東小学校,埼玉県さいたま市桜区大久保領家331,35.87133149,139.6031951,オオクボヒガシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,新開小学校,埼玉県さいたま市桜区新開2-18-1,35.85089827,139.6180774,シビラキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,神田小学校,埼玉県さいたま市桜区神田541-1,35.87507813,139.6072633,ジンデショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,中島小学校,埼玉県さいたま市桜区中島1-28-1,35.86527733,139.6237969,ナカジマショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,土合中学校,埼玉県さいたま市桜区町谷1-19-1,35.86026506,139.6229423,ツチアイチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大久保中学校,埼玉県さいたま市桜区五関282,35.8667944,139.5977675,オオクボチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,田島中学校,埼玉県さいたま市桜区田島10-13-1,35.83840401,139.622546,タジマチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上大久保中学校,埼玉県さいたま市桜区上大久保861-1,35.87142022,139.6163783,カミオオクボチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和北高等学校,埼玉県さいたま市桜区五関595,35.86702939,139.5947776,ウラワキタコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立浦和工業高等学校,埼玉県さいたま市桜区西堀5-1-1,35.853768,139.626939,ウラワコウギョウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,埼玉大学総合体育館,埼玉県さいたま市桜区下大久保255,35.86164786,139.6063725,サイタマダイガクソウゴウタイイクカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,土合公民館,埼玉県さいたま市桜区西堀4-2-35,35.851791,139.6277841,ツイアイコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大久保公民館,埼玉県さいたま市桜区五関839-2,35.870238,139.5978279,オオクボコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,栄和公民館,埼玉県さいたま市桜区道場2-11-27,35.8587399,139.6132907,サカワコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,田島公民館,埼玉県さいたま市桜区田島3-27-6,35.8454529,139.6328033,タジマコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大久保東公民館,埼玉県さいたま市桜区大久保領家131-6,35.8695606,139.6082437,オオクボヒガシコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,高砂小学校,埼玉県さいたま市浦和区岸町4-1-29,35.85653001,139.6566507,タカサゴショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,常盤小学校,埼玉県さいたま市浦和区常盤9-30-9,35.86877797,139.6429544,トキワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,木崎小学校,埼玉県さいたま市浦和区領家4-19-4,35.88277511,139.6529055,キザキショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,仲本小学校,埼玉県さいたま市浦和区本太2-12-31,35.86189026,139.6606412,ナカモトショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,本太小学校,埼玉県さいたま市浦和区本太2-26-25,35.8654139,139.657363,モトブトショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,北浦和小学校,埼玉県さいたま市浦和区北浦和2-18-3,35.87734452,139.6481922,キタウラワショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,仲町小学校,埼玉県さいたま市浦和区常盤8-18-4,35.86431854,139.6404187,ナカチョウショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,上木崎小学校,埼玉県さいたま市浦和区上木崎3-4-3,35.88768648,139.6428738,カミキザキショウガッコウ,あり
