種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,地震,洪水,崖崩れ,大規模な火事,指定避難所との重複
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,埼玉大学教育学部附属小学校,埼玉県さいたま市浦和区常盤6-9-44,35.86222808,139.6431807,サイタマダイガクキョウイクガクブフゾクショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,駒場運動公園,埼玉県さいたま市浦和区駒場2-1,35.87093621,139.6647185,コマバウンドウコウエン,可,可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,駒場緑地,埼玉県さいたま市浦和区駒場2丁目4,35.87281551,139.6630787,コマバリョクチ,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,浦和総合運動場,埼玉県さいたま市浦和区元町1・本太4丁目地内,35.86935699,139.6577331,ウラワソウゴウウンドウジョウ,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,北浦和公園・浦和北公園,埼玉県さいたま市浦和区常盤9-30,35.86954145,139.6437874,キタウラワコウエン・ウラワキタコウエン,可,可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,常盤公園,埼玉県さいたま市浦和区常盤1-8,35.86229815,139.6509509,トキワコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,調公園,埼玉県さいたま市浦和区岸町3-17,35.8535135,139.6563437,ツキノミヤコウエン,可,可,可,,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大原スポーツ広場一帯,埼玉県さいたま市浦和区大原3-15外,35.89493154,139.6502278,オオハラスポーツヒロバイッタイ,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,谷田小学校,埼玉県さいたま市南区太田窪5-10-6,35.85629662,139.6778072,ヤダショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,南浦和小学校,埼玉県さいたま市南区白幡1-1-20,35.84526526,139.6578635,ミナミウラワショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,浦和別所小学校,埼玉県さいたま市南区別所2-5-34,35.84952213,139.6481771,ウラワベッショショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大谷場小学校,埼玉県さいたま市南区南浦和1-18-3,35.85262788,139.6679479,オオヤバショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大谷場東小学校,埼玉県さいたま市南区大谷場2-13-54,35.85320498,139.6746665,オオヤバヒガシショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,西浦和小学校,埼玉県さいたま市南区曲本1-3-5,35.83825332,139.6301593,ニシウラワショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,辻小学校,埼玉県さいたま市南区辻6-3-28,35.83302752,139.6582643,ツジショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,文蔵小学校,埼玉県さいたま市南区文蔵5-16-29,35.83518902,139.6738828,ブゾウソウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,沼影小学校,埼玉県さいたま市南区沼影2-8-36,35.83899255,139.6458661,ヌマカゲショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大谷口小学校,埼玉県さいたま市南区広ヶ谷戸24,35.86246157,139.6831881,オオヤグチショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,浦和大里小学校,埼玉県さいたま市南区別所7-14-28,35.84472715,139.6435392,ウラワオオサトショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,善前小学校,埼玉県さいたま市南区太田窪2500-1,35.85322775,139.6857782,ゼンマエショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,向小学校,埼玉県さいたま市南区大谷口5437,35.85717693,139.6959235,ムカイショウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,辻南小学校,埼玉県さいたま市南区辻8-7-32,35.83148893,139.6651538,ツジミナミショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,岸中学校,埼玉県さいたま市南区南本町2-25-27,35.85004199,139.6646959,キシチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,南浦和中学校,埼玉県さいたま市南区辻6-1-33,35.83484142,139.657081,ミナミウラワチュウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,白幡中学校,埼玉県さいたま市南区白幡2-18-13,35.8486859,139.6526959,シラハタチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大谷場中学校,埼玉県さいたま市南区大谷場2-13-54,35.85339195,139.6742802,オオヤバチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大谷口中学校,埼玉県さいたま市南区広ヶ谷戸21,35.86282877,139.6831625,オオヤグチチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,内谷中学校,埼玉県さいたま市南区内谷6-10-1,35.83518024,139.6477737,ウチヤチュウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,浦和南高等学校,埼玉県さいたま市南区辻6-5-31,35.83260196,139.6573989,ウラワミナミコウトウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,埼玉大学教育学部附属中学校,埼玉県さいたま市南区別所4-2-5,35.8556583,139.6431789,サイタマダイガクキョウイクガクブフゾクチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,浦和競馬場,埼玉県さいたま市南区大谷場1-8-42,35.85787444,139.6705434,ウラワケイバジョウ,可,不可,可,可,
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,別所沼公園,埼玉県さいたま市南区別所4-12,35.85617645,139.6407523,ベッショヌマコウエン,可,不可,可,,
